-1.40E+00,3.66E+00
-1.33E+00,1.25E+01
-1.26E+00,2.49E+01
-1.19E+00,3.73E+01
-1.13E+00,5.68E+01
-1.07E+00,7.99E+01
-1.01E+00,1.05E+02
-9.48E-01,1.37E+02
-8.83E-01,1.71E+02
-8.12E-01,2.11E+02
-7.47E-01,2.56E+02
-6.88E-01,3.02E+02
-6.23E-01,3.52E+02
-5.52E-01,4.02E+02
-4.93E-01,4.48E+02
-4.34E-01,4.96E+02
-3.74E-01,5.37E+02
-3.04E-01,5.72E+02
-2.33E-01,6.02E+02
-1.74E-01,6.31E+02
-1.09E-01,6.45E+02
-4.83E-02,6.54E+02
1.56E-02,6.58E+02
7.13E-02,6.49E+02
1.51E-01,6.33E+02
2.03E-01,6.12E+02
2.70E-01,5.85E+02
3.34E-01,5.48E+02
3.97E-01,5.07E+02
4.57E-01,4.62E+02
5.12E-01,4.14E+02
5.84E-01,3.65E+02
6.43E-01,3.20E+02
7.07E-01,2.77E+02
7.74E-01,2.36E+02
8.30E-01,1.98E+02
8.98E-01,1.67E+02
9.61E-01,1.39E+02
1.03E+00,1.15E+02
1.09E+00,9.69E+01
1.16E+00,7.76E+01
1.22E+00,6.55E+01
